Key,Closed Bugs,Closed Bugs w/o Affect Version,Percent w/o AV,Num Bugs w/ AV after Fix,Percent Bugs w/ AV after Fix (out of Bugs w/ AV),Num Bugs w/ AV w/o Release Dates,Percent Bugs w/ AV w/o Release Date (out of Bugs w/ AV),Num Bugs w/ AV w/ Weird Names, Percent Bugs w/ AV w/ Weird Names (out of Bugs w/ AV),Num Bugs Missing Creation/Resolution Date,Percent Bugs Missing Creation/Resolution Date(out of Bugs w/ AV),Total Bugs w/ AV and a Problem,Percent Closed Bugs w/ AV and a Problem(out of Bugs w/ AV),Percent Closed Bugs w/ Problem Including Missing AV(out of Closed Bugs)
ACE,147.0,106.0,0.7210884353741497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7210884353741497
AMQ,1290.0,118.0,0.09147286821705426,10.0,0.008532423208191127,102.0,0.08703071672354949,0.0,0.0,0.0,0.0,112.0,0.09556313993174062,0.17829457364341086
AMQNET,191.0,78.0,0.4083769633507853,4.0,0.035398230088495575,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.035398230088495575,0.4293193717277487
ARTEMIS,1019.0,260.0,0.25515210991167814,2.0,0.002635046113306983,126.0,0.16600790513833993,0.0,0.0,0.0,0.0,128.0,0.1686429512516469,0.380765456329735
AMQCPP,143.0,12.0,0.08391608391608392,9.0,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.06870229007633588,0.14685314685314685
AIRAVATA,820.0,354.0,0.4317073170731707,33.0,0.07081545064377683,29.0,0.06223175965665236,0.0,0.0,0.0,0.0,62.0,0.13304721030042918,0.5073170731707317
AIRFLOW,433.0,217.0,0.5011547344110855,22.0,0.10185185185185185,21.0,0.09722222222222222,0.0,0.0,0.0,0.0,40.0,0.18518518518518517,0.5935334872979214
APEXCORE,202.0,163.0,0.806930693069307,2.0,0.05128205128205128,1.0,0.02564102564102564,0.0,0.0,0.0,0.0,3.0,0.07692307692307693,0.8217821782178217
APEXMALHAR,416.0,395.0,0.9495192307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9495192307692307
ARROW,145.0,86.0,0.593103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593103448275862
ASTERIXDB,1106.0,1102.0,0.9963833634719711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963833634719711
AVRO,580.0,199.0,0.3431034482758621,7.0,0.01837270341207349,19.0,0.049868766404199474,0.0,0.0,0.0,0.0,26.0,0.06824146981627296,0.3879310344827586
AWF,134.0,134.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
BLUR,175.0,23.0,0.13142857142857142,0.0,0.0,55.0,0.3618421052631579,5.0,0.03289473684210526,0.0,0.0,60.0,0.39473684210526316,0.4742857142857143
CB,7679.0,2894.0,0.3768719885401745,5.0,0.0010449320794148381,1035.0,0.21630094043887146,450.0,0.09404388714733543,0.0,0.0,1475.0,0.30825496342737724,0.5689542909232973
DLAB,105.0,105.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
DRILL,1300.0,551.0,0.4238461538461539,12.0,0.01602136181575434,0.0,0.0,2.0,0.0026702269692923898,0.0,0.0,14.0,0.018691588785046728,0.4346153846153846
FINERACT,245.0,204.0,0.8326530612244898,0.0,0.0,20.0,0.4878048780487805,0.0,0.0,0.0,0.0,20.0,0.4878048780487805,0.9142857142857143
FLEX,26332.0,38.0,0.001443111043597144,1044.0,0.03970487563702746,3.0,1.1409447022134328E-4,21243.0,0.8079029436373317,0.0,0.0,22290.0,0.8477219137445805,0.8479416679325535
HAWQ,508.0,434.0,0.8543307086614174,0.0,0.0,0.0,0.0,2.0,0.02702702702702703,0.0,0.0,2.0,0.02702702702702703,0.8582677165354331
JENA,845.0,223.0,0.263905325443787,15.0,0.024115755627009645,2.0,0.003215434083601286,0.0,0.0,0.0,0.0,17.0,0.027331189710610933,0.28402366863905326
LENS,360.0,247.0,0.6861111111111111,6.0,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.05309734513274336,0.7027777777777777
MADLIB,424.0,422.0,0.9952830188679245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952830188679245
ROL,1296.0,364.0,0.2808641975308642,18.0,0.019313304721030045,813.0,0.8723175965665236,0.0,0.0,0.0,0.0,829.0,0.8894849785407726,0.9205246913580247
STORM,147.0,61.0,0.41496598639455784,2.0,0.023255813953488372,28.0,0.32558139534883723,0.0,0.0,0.0,0.0,30.0,0.3488372093023256,0.6190476190476191
TEZ,1327.0,1061.0,0.7995478522984175,35.0,0.13157894736842105,4.0,0.015037593984962405,0.0,0.0,0.0,0.0,39.0,0.14661654135338345,0.8289374529012811
MTOMCAT,126.0,16.0,0.12698412698412698,0.0,0.0,2.0,0.01818181818181818,0.0,0.0,0.0,0.0,2.0,0.01818181818181818,0.14285714285714285
TRAFODION,1816.0,1403.0,0.7725770925110133,15.0,0.03631961259079903,112.0,0.2711864406779661,47.0,0.11380145278450363,0.0,0.0,172.0,0.41646489104116224,0.8672907488986784
MRM,1045.0,180.0,0.1722488038277512,34.0,0.03930635838150289,0.0,0.0,1.0,0.0011560693641618498,0.0,0.0,35.0,0.04046242774566474,0.20574162679425836
ARIES,285.0,149.0,0.5228070175438596,6.0,0.04411764705882353,27.0,0.19852941176470587,0.0,0.0,0.0,0.0,33.0,0.2426470588235294,0.6385964912280702
AXIOM,268.0,231.0,0.8619402985074627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8619402985074627
AXIS,329.0,139.0,0.42249240121580545,1.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005263157894736842,0.425531914893617
AXISCPP,712.0,254.0,0.35674157303370785,0.0,0.0,260.0,0.5676855895196506,201.0,0.4388646288209607,0.0,0.0,458.0,1.0,1.0
AXIS2,381.0,188.0,0.49343832020997375,3.0,0.015544041450777202,4.0,0.02072538860103627,26.0,0.13471502590673576,0.0,0.0,33.0,0.17098445595854922,0.5800524934383202
AXIS2C,361.0,114.0,0.3157894736842105,0.0,0.0,7.0,0.02834008097165992,140.0,0.5668016194331984,0.0,0.0,146.0,0.5910931174089069,0.7202216066481995
BEAM,645.0,532.0,0.8248062015503876,5.0,0.04424778761061947,0.0,0.0,9.0,0.07964601769911504,0.0,0.0,14.0,0.12389380530973451,0.8465116279069768
BEEHIVE,771.0,81.0,0.10505836575875487,47.0,0.06811594202898551,0.0,0.0,3.0,0.004347826086956522,0.0,0.0,50.0,0.07246376811594203,0.16990920881971466
BIGTOP,771.0,134.0,0.17380025940337224,48.0,0.07535321821036106,2.0,0.0031397174254317113,0.0,0.0,0.0,0.0,50.0,0.07849293563579278,0.23865110246433205
BOOKKEEPER,269.0,157.0,0.5836431226765799,15.0,0.13392857142857142,0.0,0.0,0.0,0.0,1.0,0.008928571428571428,16.0,0.14285714285714285,0.6431226765799256
BUILDR,398.0,58.0,0.1457286432160804,3.0,0.008823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.008823529411764706,0.15326633165829145
STDCXX,431.0,82.0,0.1902552204176334,0.0,0.0,13.0,0.03724928366762178,0.0,0.0,0.0,0.0,13.0,0.03724928366762178,0.22041763341067286
CACTUS,128.0,55.0,0.4296875,0.0,0.0,67.0,0.9178082191780822,0.0,0.0,0.0,0.0,67.0,0.9178082191780822,0.953125
CALCITE,1421.0,1066.0,0.7501759324419423,6.0,0.016901408450704224,0.0,0.0,5.0,0.014084507042253521,0.0,0.0,11.0,0.030985915492957747,0.7579169598874033
CAMEL,1491.0,209.0,0.14017437961099932,50.0,0.0390015600624025,0.0,0.0,1.0,7.8003120124805E-4,0.0,0.0,51.0,0.039781591263650544,0.1743796109993293
CARBONDATA,251.0,84.0,0.3346613545816733,6.0,0.03592814371257485,0.0,0.0,1.0,0.005988023952095809,0.0,0.0,7.0,0.041916167664670656,0.36254980079681276
CAY,1060.0,128.0,0.12075471698113208,193.0,0.20708154506437768,417.0,0.44742489270386265,1.0,0.001072961373390558,0.0,0.0,576.0,0.6180257510729614,0.6641509433962264
CELIX,214.0,192.0,0.897196261682243,0.0,0.0,1.0,0.045454545454545456,2.0,0.09090909090909091,0.0,0.0,3.0,0.13636363636363635,0.9112149532710281
CLEREZZA,176.0,176.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
CLK,226.0,170.0,0.7522123893805309,0.0,0.0,50.0,0.8928571428571429,0.0,0.0,0.0,0.0,50.0,0.8928571428571429,0.9734513274336283
COCOON,1474.0,35.0,0.023744911804613297,131.0,0.09103544127866574,278.0,0.1931897150799166,0.0,0.0,0.0,0.0,409.0,0.28422515635858236,0.3012211668928087
BCEL,110.0,31.0,0.2818181818181818,0.0,0.0,13.0,0.16455696202531644,20.0,0.25316455696202533,0.0,0.0,33.0,0.4177215189873418,0.5818181818181818
