Key,Closed Bugs,Closed Bugs w/o Affect Version,Percent w/o AV,Total Releases,Releases without Release Dates,Percent Releases w/o Dates,Num Bugs w/ AV after Fix,Percent Bugs w/ AV after Fix (out of Bugs w/ AV),Num Bugs w/ AV w/o Release Dates,Percent Bugs w/ AV w/o Release Date (out of Bugs w/ AV),Num Bugs w/ AV w/ Weird Names, Percent Bugs w/ AV w/ Weird Names (out of Bugs w/ AV),Num Bugs Missing Creation/Resolution Date,Percent Bugs Missing Creation/Resolution Date(out of Bugs w/ AV),Total Bugs w/ AV and a Problem,Percent Closed Bugs w/ AV and a Problem(out of Bugs w/ AV),Percent Closed Bugs w/ Problem Including Missing AV(out of Closed Bugs)
ACE,147.0,106.0,0.7210884353741497,6.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7210884353741497
AMQ,1290.0,118.0,0.09147286821705426,89.0,30.0,0.33707865168539325,16.0,0.013651877133105802,102.0,0.08703071672354949,0.0,0.0,0.0,0.0,118.0,0.10068259385665529,0.18294573643410852
AMQNET,191.0,78.0,0.4083769633507853,25.0,3.0,0.12,4.0,0.035398230088495575,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.035398230088495575,0.4293193717277487
ARTEMIS,967.0,236.0,0.24405377456049637,28.0,9.0,0.32142857142857145,11.0,0.015047879616963064,122.0,0.16689466484268126,0.0,0.0,0.0,0.0,133.0,0.18194254445964433,0.3815925542916236
AMQCPP,143.0,12.0,0.08391608391608392,56.0,8.0,0.14285714285714285,2.0,0.015267175572519083,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.015267175572519083,0.0979020979020979
AIRAVATA,820.0,354.0,0.4317073170731707,22.0,3.0,0.13636363636363635,30.0,0.06437768240343347,29.0,0.06223175965665236,0.0,0.0,0.0,0.0,59.0,0.12660944206008584,0.5036585365853659
AIRFLOW,432.0,216.0,0.5,21.0,2.0,0.09523809523809523,6.0,0.027777777777777776,21.0,0.09722222222222222,0.0,0.0,0.0,0.0,25.0,0.11574074074074074,0.5578703703703703
APEXCORE,202.0,163.0,0.806930693069307,17.0,7.0,0.4117647058823529,2.0,0.05128205128205128,1.0,0.02564102564102564,0.0,0.0,0.0,0.0,3.0,0.07692307692307693,0.8217821782178217
APEXMALHAR,416.0,395.0,0.9495192307692307,32.0,9.0,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9495192307692307
ARROW,144.0,85.0,0.5902777777777778,24.0,5.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5902777777777778
ASTERIXDB,1106.0,1102.0,0.9963833634719711,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963833634719711
AVRO,580.0,199.0,0.3431034482758621,35.0,7.0,0.2,7.0,0.01837270341207349,19.0,0.049868766404199474,0.0,0.0,0.0,0.0,26.0,0.06824146981627296,0.3879310344827586
AWF,134.0,134.0,1.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
BLUR,175.0,23.0,0.13142857142857142,7.0,4.0,0.5714285714285714,0.0,0.0,55.0,0.3618421052631579,5.0,0.03289473684210526,0.0,0.0,60.0,0.39473684210526316,0.4742857142857143
CB,7679.0,2894.0,0.3768719885401745,160.0,118.0,0.7375,4.0,8.359456635318704E-4,1035.0,0.21630094043887146,450.0,0.09404388714733543,0.0,0.0,1474.0,0.3080459770114943,0.568824065633546
DLAB,104.0,104.0,1.0,2.0,0.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
DRILL,1299.0,551.0,0.4241724403387221,27.0,3.0,0.1111111111111111,12.0,0.016042780748663103,0.0,0.0,2.0,0.00267379679144385,0.0,0.0,14.0,0.01871657754010695,0.43494996150885296
FINERACT,242.0,201.0,0.8305785123966942,7.0,5.0,0.7142857142857143,0.0,0.0,20.0,0.4878048780487805,0.0,0.0,0.0,0.0,20.0,0.4878048780487805,0.9132231404958677
FLEX,26332.0,38.0,0.001443111043597144,75.0,17.0,0.22666666666666666,1025.0,0.03898227732562562,3.0,1.1409447022134328E-4,21243.0,0.8079029436373317,0.0,0.0,22271.0,0.8469993154331786,0.847220112410755
HAWQ,508.0,434.0,0.8543307086614174,9.0,5.0,0.5555555555555556,45.0,0.6081081081081081,0.0,0.0,2.0,0.02702702702702703,0.0,0.0,47.0,0.6351351351351351,0.9468503937007874
JENA,845.0,223.0,0.263905325443787,67.0,2.0,0.029850746268656716,70.0,0.11254019292604502,2.0,0.003215434083601286,0.0,0.0,0.0,0.0,71.0,0.11414790996784566,0.3479289940828402
LENS,360.0,247.0,0.6861111111111111,10.0,2.0,0.2,8.0,0.07079646017699115,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.07079646017699115,0.7083333333333334
MADLIB,424.0,422.0,0.9952830188679245,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952830188679245
ROL,1296.0,364.0,0.2808641975308642,55.0,44.0,0.8,18.0,0.019313304721030045,813.0,0.8723175965665236,0.0,0.0,0.0,0.0,829.0,0.8894849785407726,0.9205246913580247
STORM,147.0,61.0,0.41496598639455784,34.0,9.0,0.2647058823529412,0.0,0.0,28.0,0.32558139534883723,0.0,0.0,0.0,0.0,28.0,0.32558139534883723,0.6054421768707483
TEZ,1327.0,1061.0,0.7995478522984175,34.0,12.0,0.35294117647058826,35.0,0.13157894736842105,4.0,0.015037593984962405,0.0,0.0,0.0,0.0,39.0,0.14661654135338345,0.8289374529012811
MTOMCAT,126.0,16.0,0.12698412698412698,12.0,5.0,0.4166666666666667,0.0,0.0,2.0,0.01818181818181818,0.0,0.0,0.0,0.0,2.0,0.01818181818181818,0.14285714285714285
TRAFODION,1816.0,1403.0,0.7725770925110133,15.0,11.0,0.7333333333333333,28.0,0.06779661016949153,112.0,0.2711864406779661,47.0,0.11380145278450363,0.0,0.0,185.0,0.44794188861985473,0.8744493392070485
